"Aktuell: Zeit (s)","Aktuell: Potenzial 1 (V)","Aktuell: Potenzial 2 (V)","Aktuell: Potenzial 3 (V)"
71.45,0.0289916992188,-0.0326156616211,4.98580932617
71.46,0.0259399414062,-0.0326156616211,4.98886108398
71.47,0.0259399414062,-0.0295639038086,4.9919128418
71.48,0.0259399414062,-0.0326156616211,4.98275756836
71.49,0.0259399414062,-0.0265121459961,4.98886108398
71.5,0.0259399414062,-0.0326156616211,4.98580932617
71.51,0.0198364257812,-0.0265121459961,4.98580932617
71.52,0.0228881835938,-0.0295639038086,4.9919128418
71.53,0.0228881835938,-0.0265121459961,4.9919128418
71.54,0.0137329101562,-0.0265121459961,4.9919128418
71.55,0.0137329101562,-0.0265121459961,4.9919128418
71.56,0.0167846679688,-0.0265121459961,4.98275756836
71.57,0.0167846679688,-0.0295639038086,4.9919128418
71.58,0.0259399414062,-0.0265121459961,4.98886108398
71.59,0.0259399414062,-0.0326156616211,4.98886108398
71.6,0.0289916992188,-0.0326156616211,4.98886108398
71.61,0.0289916992188,-0.0356674194336,4.98886108398
71.62,0.0198364257812,-0.0326156616211,4.98886108398
71.63,0.0259399414062,-0.0326156616211,4.9919128418
71.64,0.0228881835938,-0.0326156616211,4.98886108398
71.65,0.0259399414062,-0.0265121459961,4.98886108398
71.66,0.0259399414062,-0.0295639038086,4.98886108398
71.67,0.0259399414062,-0.0265121459961,4.98580932617
71.68,0.0259399414062,-0.0326156616211,4.9919128418
71.69,0.0259399414062,-0.0265121459961,4.9919128418
71.7,0.0228881835938,-0.0265121459961,4.9919128418
71.71,0.0167846679688,-0.0265121459961,4.9919128418
71.72,0.0198364257812,-0.0265121459961,4.9919128418
71.73,0.0137329101562,-0.0265121459961,4.9919128418
71.74,0.0228881835938,-0.0265121459961,4.98580932617
71.75,0.0228881835938,-0.0295639038086,4.9919128418
71.76,0.0259399414062,-0.0295639038086,4.9919128418
71.77,0.0228881835938,-0.0387191772461,4.9919128418
71.78,0.0259399414062,-0.0265121459961,4.98886108398
71.79,0.0259399414062,-0.0387191772461,4.98886108398
71.8,0.0228881835938,-0.0326156616211,4.98886108398
71.81,0.0259399414062,-0.0295639038086,4.9919128418
71.82,0.0228881835938,-0.0356674194336,4.98580932617
71.83,0.0289916992188,-0.0295639038086,4.98580932617
71.84,0.0259399414062,-0.0356674194336,4.98886108398
71.85,0.0259399414062,-0.0295639038086,4.9919128418
71.86,0.0228881835938,-0.0295639038086,4.98580932617
71.87,0.0259399414062,-0.0234603881836,4.9919128418
71.88,0.0259399414062,-0.0295639038086,4.98275756836
71.89,0.0167846679688,-0.0265121459961,4.98580932617
71.9,0.0228881835938,-0.0295639038086,4.9919128418
71.91,0.0167846679688,-0.0265121459961,4.9919128418
71.92,0.0137329101562,-0.0265121459961,4.9919128418
71.93,0.0198364257812,-0.0295639038086,4.9919128418
71.94,0.0137329101562,-0.0265121459961,4.98275756836
71.95,0.0198364257812,-0.0356674194336,4.9919128418
71.96,0.0228881835938,-0.0265121459961,4.98886108398
71.97,0.0259399414062,-0.0326156616211,4.98886108398
71.98,0.0289916992188,-0.0356674194336,4.9919128418
71.99,0.0259399414062,-0.0326156616211,4.9919128418
72,0.0167846679688,-0.0387191772461,4.98886108398
72.01,0.0259399414062,-0.0295639038086,4.98886108398
72.02,0.0228881835938,-0.0326156616211,4.98886108398
72.03,0.0259399414062,-0.0295639038086,4.9919128418
72.04,0.0259399414062,-0.0295639038086,4.98580932617
72.05,0.0259399414062,-0.0234603881836,4.98580932617
72.06,0.0259399414062,-0.0356674194336,4.98580932617
72.07,0.0228881835938,-0.0265121459961,4.98886108398
72.08,0.0228881835938,-0.0295639038086,4.9919128418
72.09,0.0167846679688,-0.0265121459961,4.9919128418
72.1,0.0137329101562,-0.0265121459961,4.9919128418
72.11,0.0137329101562,-0.0265121459961,4.9919128418
72.12,0.0167846679688,-0.0265121459961,4.98275756836
72.13,0.0167846679688,-0.0295639038086,4.98886108398
72.14,0.0259399414062,-0.0265121459961,4.9919128418
72.15,0.0228881835938,-0.0356674194336,4.98886108398
72.16,0.0259399414062,-0.0295639038086,4.9919128418
72.17,0.0259399414062,-0.0356674194336,4.98886108398
72.18,0.0198364257812,-0.0326156616211,4.98886108398
72.19,0.0259399414062,-0.0295639038086,4.9919128418
72.2,0.0228881835938,-0.0356674194336,4.98580932617
72.21,0.0259399414062,-0.0295639038086,4.98580932617
72.22,0.0259399414062,-0.0295639038086,4.9919128418
72.23,0.0259399414062,-0.0265121459961,4.98580932617
72.24,0.0259399414062,-0.0326156616211,4.98580932617
72.25,0.0228881835938,-0.0265121459961,4.9919128418
72.26,0.0228881835938,-0.0265121459961,4.98580932617
72.27,0.0137329101562,-0.0265121459961,4.98886108398
72.28,0.0228881835938,-0.0265121459961,4.9919128418
72.29,0.0137329101562,-0.0265121459961,4.9919128418
72.3,0.0137329101562,-0.0265121459961,4.9919128418
72.31,0.0198364257812,-0.0265121459961,4.9919128418
72.32,0.0167846679688,-0.0265121459961,4.98886108398
72.33,0.0228881835938,-0.0387191772461,4.9919128418
72.34,0.0259399414062,-0.0265121459961,4.98886108398
72.35,0.0228881835938,-0.0326156616211,4.98886108398
72.36,0.0259399414062,-0.0356674194336,4.98886108398
72.37,0.0289916992188,-0.0265121459961,4.98886108398
72.38,0.0198364257812,-0.0417709350586,4.98886108398
72.39,0.0259399414062,-0.0295639038086,4.98580932617
72.4,0.0259399414062,-0.0326156616211,4.98886108398
72.41,0.0259399414062,-0.0295639038086,4.9919128418
72.42,0.0259399414062,-0.0295639038086,4.98275756836
72.43,0.0259399414062,-0.0265121459961,4.9919128418
72.44,0.0228881835938,-0.0326156616211,4.98580932617
72.45,0.0198364257812,-0.0265121459961,4.98580932617
72.46,0.0228881835938,-0.0295639038086,4.9919128418
72.47,0.0198364257812,-0.0265121459961,4.9919128418
72.48,0.0137329101562,-0.0265121459961,4.9919128418
72.49,0.0198364257812,-0.0295639038086,4.9919128418
72.5,0.0137329101562,-0.0265121459961,4.98275756836
72.51,0.0198364257812,-0.0326156616211,4.9919128418
72.52,0.0228881835938,-0.0295639038086,4.9919128418
72.53,0.0228881835938,-0.0326156616211,4.9919128418
72.54,0.0259399414062,-0.0356674194336,4.98886108398
72.55,0.0289916992188,-0.0295639038086,4.98886108398
72.56,0.0167846679688,-0.0387191772461,4.98886108398
72.57,0.0259399414062,-0.0295639038086,4.9919128418
72.58,0.0198364257812,-0.0326156616211,4.98580932617
